City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
176,Charqueadas,BR,-29.9547,-51.6253,81.25,51,57,0.34,broken clouds
177,Ponta Do Sol,PT,32.6667,-17.1,68.72,69,98,6.51,overcast clouds
178,Samarai,PG,-10.6167,150.6667,85.71,70,20,15.84,few clouds
179,Havre-Saint-Pierre,CA,50.2334,-63.5986,45.3,91,100,29.59,overcast clouds
180,Ampanihy,MG,-24.7,44.75,64.63,96,34,5.3,scattered clouds
181,Lompoc,US,34.6391,-120.4579,72.12,52,1,0.0,clear sky
182,San Patricio,US,28.017,-97.5169,67.84,48,100,7.83,overcast clouds
183,Palmer,US,42.1584,-72.3287,37.02,57,78,1.01,broken clouds
184,Smithers,CA,54.7804,-127.1743,37.72,65,40,4.61,scattered clouds
185,Tupik,RU,54.4253,119.9327,-1.16,79,17,4.97,few clouds
186,Khatanga,RU,71.9667,102.5,-3.62,79,97,22.19,overcast clouds
187,Oranjemund,NA,-28.55,16.4333,62.85,83,100,8.68,overcast clouds
188,Kahului,US,20.8947,-156.47,79.86,80,75,23.02,broken clouds
189,Maningrida,AU,-12.0667,134.2667,93.45,45,96,7.99,overcast clouds
190,Oksfjord,NO,70.2396,22.3479,27.52,92,100,9.71,light snow
191,Requena,ES,39.4883,-1.1004,46.87,97,100,3.33,light rain
192,Burnie,AU,-41.0667,145.9167,68.94,55,100,10.09,overcast clouds
193,Sitka,US,57.0531,-135.33,37.29,81,90,9.22,moderate rain
194,Salta,AR,-24.7859,-65.4117,82.69,51,75,1.99,broken clouds
195,Alicia,PH,16.7794,121.6973,80.51,76,69,7.9,broken clouds
196,La Ronge,CA,55.1001,-105.2842,17.85,86,90,12.66,light shower snow
197,Avera,US,33.194,-82.5271,53.67,44,20,13.35,few clouds
198,Halifax,CA,44.6453,-63.5724,55.29,95,100,8.99,overcast clouds
199,Neuquen,AR,-38.9516,-68.0591,66.09,55,0,0.0,clear sky
200,Hambantota,LK,6.1241,81.1185,79.95,78,100,4.05,overcast clouds
201,Velingara,SN,13.15,-14.1167,77.63,24,21,2.13,few clouds
202,Kloulklubed,PW,7.0419,134.2556,88.3,76,81,13.85,broken clouds
203,Huanuco,PE,-9.9329,-76.2415,64.4,91,84,2.89,broken clouds
204,Coahuayana,MX,18.7333,-103.6833,80.08,88,72,0.83,broken clouds
205,Leningradskiy,RU,69.3833,178.4167,-15.74,91,32,4.5,scattered clouds
206,Souillac,MU,-20.5167,57.5167,73.36,94,40,3.44,scattered clouds
207,Bilma,NE,18.6853,12.9164,72.55,23,0,8.88,clear sky
208,Ilulissat,GL,69.2167,-51.1,15.82,73,20,11.5,few clouds
209,Newry,GB,54.1784,-6.3374,46.35,86,94,2.64,overcast clouds
210,Birjand,IR,32.8663,59.2211,51.85,73,100,5.66,overcast clouds
211,Ouadda,CF,8.0777,22.4007,69.03,30,98,5.21,overcast clouds
212,Aksu,CN,41.1231,80.2644,26.56,57,0,1.34,clear sky
213,Korla,CN,41.7597,86.1469,26.42,63,11,2.04,few clouds
214,Clyde River,CA,70.4692,-68.5914,14.23,92,100,14.97,light snow
215,Bonanza,NI,14.0289,-84.591,68.81,92,100,2.46,overcast clouds
216,Tortoli,IT,39.9256,9.6572,55.22,76,20,6.91,few clouds
217,Flagstaff,US,35.1981,-111.6513,49.66,42,1,0.0,clear sky
218,Nisia Floresta,BR,-6.0911,-35.2086,79.61,83,87,7.11,overcast clouds
219,Garowe,SO,8.4054,48.4845,66.7,77,69,1.59,broken clouds
220,Ibatiba,BR,-20.2339,-41.5106,63.12,99,100,0.58,overcast clouds
221,Ahipara,NZ,-35.1667,173.1667,68.29,64,16,11.72,few clouds
222,Sangar,RU,63.9242,127.4739,-26.72,94,42,1.05,scattered clouds
223,Kapit,MY,2.0167,112.9333,76.44,97,99,0.83,overcast clouds
224,Cordoba,AR,-31.4135,-64.1811,76.24,43,0,9.22,clear sky
225,Itupiranga,BR,-5.1347,-49.3267,74.89,90,55,1.52,broken clouds
226,Ixtapa,MX,20.7,-105.2,78.03,78,1,2.3,clear sky
227,Tamano,JP,34.4833,133.95,52.57,55,21,22.88,few clouds
228,Nantucket,US,41.2835,-70.0995,46.96,78,100,26.62,overcast clouds
229,Flinders,AU,-34.5833,150.8552,74.17,69,100,3.0,overcast clouds
230,Saint-Francois,FR,46.4154,3.9054,42.67,74,90,14.97,overcast clouds
231,Behbahan,IR,30.5959,50.2417,61.92,57,98,4.47,overcast clouds
232,Codrington,AU,-38.2667,141.9667,75.67,50,100,14.81,light rain
233,Langres,FR,47.8333,5.3333,36.45,85,9,16.13,clear sky
234,Shimanovsk,RU,52.0,127.7,20.03,90,100,18.19,snow
235,Dudinka,RU,69.4058,86.1778,11.79,78,100,15.61,overcast clouds
236,Mae Sai,TH,20.4335,99.8762,74.44,72,5,1.23,clear sky
237,Wenling,CN,28.3669,121.36,52.92,46,7,7.56,clear sky
238,Florence,IT,43.7667,11.25,57.06,78,75,8.05,broken clouds
239,Talcahuano,CL,-36.7167,-73.1167,60.48,72,0,8.05,clear sky
240,Moree,AU,-29.4667,149.85,84.22,48,40,13.8,scattered clouds
241,Tabou,CI,4.423,-7.3528,78.42,83,5,4.12,clear sky
242,Upernavik,GL,72.7868,-56.1549,2.53,88,7,6.24,clear sky
243,Torbay,CA,47.6666,-52.7314,39.27,87,20,12.66,few clouds
244,Nabire,ID,-3.3667,135.4833,88.32,62,72,4.99,broken clouds
245,Turukhansk,RU,65.8167,87.9833,13.8,92,100,20.54,light snow
246,Biloela,AU,-24.4167,150.5,81.21,55,57,11.21,broken clouds
247,Coolum Beach,AU,-26.5333,153.1,73.35,86,100,5.1,light rain
248,Hitchin,GB,51.9531,-0.2652,39.79,94,12,6.91,few clouds
249,Lichinga,MZ,-13.3128,35.2406,65.8,55,80,6.58,broken clouds
250,Te Anau,NZ,-45.4167,167.7167,61.63,48,4,3.56,clear sky
251,Bakchar,RU,57.0186,82.0711,28.51,87,100,11.97,overcast clouds
252,Lorengau,PG,-2.0226,147.2712,82.15,79,100,11.01,overcast clouds
253,Mukhen,RU,48.1,136.1,18.5,76,99,12.28,overcast clouds
254,Tavricheskoye,RU,54.5851,73.6395,30.11,96,100,12.62,light snow
255,Pakala,IN,13.4667,79.1167,73.81,89,100,1.81,overcast clouds
256,Petukhovo,RU,55.0692,67.9019,21.47,91,85,12.53,overcast clouds
