City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
196,Coahuayana,18.7333,-103.6833,81.88,48,0,2.17,MX,2021-11-21 15:23:07
197,Ban Dung,17.699,103.2596,75.11,99,31,0.72,TH,2021-11-21 15:23:08
198,Adre,13.4667,22.2,87.06,12,14,9.53,TD,2021-11-21 15:23:08
199,Jieshi,22.8134,115.8257,74.95,79,4,1.72,CN,2021-11-21 15:23:09
200,Mazagao,-0.115,-51.2894,89.65,56,70,6.22,BR,2021-11-21 15:23:09
201,Subang,-7.1277,108.5283,73.76,94,66,1.52,ID,2021-11-21 15:23:10
202,Salinopolis,-0.6136,-47.3561,84.11,72,19,11.36,BR,2021-11-21 15:23:10
203,Broken Hill,-31.95,141.4333,62.06,34,0,15.26,AU,2021-11-21 15:19:16
204,Gondanglegi,-7.7479,112.0132,78.49,86,100,2.48,ID,2021-11-21 15:23:11
205,Sampit,-2.5333,112.95,75.56,95,98,2.13,ID,2021-11-21 15:23:11
206,Vardo,70.3705,31.1107,25.0,57,94,25.39,NO,2021-11-21 15:23:11
207,Georgetown,5.4112,100.3354,80.53,92,40,0.0,MY,2021-11-21 15:23:12
208,Lata,40.1629,-8.3327,65.07,51,20,5.44,PT,2021-11-21 15:23:12
209,Muros,42.7762,-9.0603,63.09,58,1,8.28,ES,2021-11-21 15:23:12
210,Wajima,37.4,136.9,59.04,70,98,8.52,JP,2021-11-21 15:23:13
211,Ankazoabo,-22.2833,44.5167,91.9,27,35,9.42,MG,2021-11-21 15:23:13
212,Yar-Sale,66.8333,70.8333,12.2,94,100,14.32,RU,2021-11-21 15:23:14
213,Alvorada,-12.48,-49.1247,92.5,50,64,0.38,BR,2021-11-21 15:23:14
214,Faanui,-16.4833,-151.75,79.9,66,81,12.62,PF,2021-11-21 15:23:15
215,Monte Alegre,-2.0078,-54.0692,87.03,57,100,4.23,BR,2021-11-21 15:23:15
216,Kruisfontein,-34.0033,24.7314,70.88,78,97,25.21,ZA,2021-11-21 15:23:15
217,Khandbari,27.3747,87.2039,60.06,91,75,1.1,NP,2021-11-21 15:23:16
218,Melfi,40.9965,15.6514,59.56,61,0,3.65,IT,2021-11-21 15:23:16
219,Soyo,-6.1349,12.3689,86.05,72,100,10.63,AO,2021-11-21 15:23:16
220,Port Elizabeth,-33.918,25.5701,73.09,73,20,20.71,ZA,2021-11-21 15:23:17
221,Ostrovnoy,68.0531,39.5131,28.58,93,100,32.32,RU,2021-11-21 15:23:17
222,Livramento,-3.0254,-60.1803,81.28,83,75,6.91,BR,2021-11-21 15:23:17
223,Kangaatsiaq,68.3065,-53.4641,25.84,67,99,5.44,GL,2021-11-21 15:23:18
224,Waipawa,-41.4122,175.5153,58.03,71,89,13.96,NZ,2021-11-21 15:23:18
225,Sao Filipe,14.8961,-24.4956,81.39,66,100,5.86,CV,2021-11-21 15:23:19
226,Puerto Carreno,6.189,-67.4859,76.93,83,100,4.5,CO,2021-11-21 15:20:05
227,Beloha,-25.1667,45.05,72.37,65,39,14.07,MG,2021-11-21 15:23:19
228,San Vicente,-26.6167,-54.1333,89.02,30,4,3.18,AR,2021-11-21 15:23:20
229,Avera,33.194,-82.5271,58.71,58,16,5.39,US,2021-11-21 15:23:20
230,Ler,8.3018,30.1418,90.61,21,90,5.06,SS,2021-11-21 15:23:20
231,Ormara,25.2088,64.6357,78.44,47,9,6.24,PK,2021-11-21 15:23:21
232,Manokwari,-0.8667,134.0833,79.23,78,66,4.92,ID,2021-11-21 15:23:21
233,Mitla,16.9167,-96.4,61.03,64,0,2.98,MX,2021-11-21 15:23:22
234,Ciudad Bolivar,8.1222,-63.5497,87.15,56,100,6.85,VE,2021-11-21 15:24:22
235,Robertsport,6.7533,-11.3686,84.02,69,13,10.07,LR,2021-11-21 15:24:23
236,Mutare,-18.9707,32.6709,72.0,74,53,9.01,ZW,2021-11-21 15:24:23
237,Dakar,14.6937,-17.4441,101.28,66,0,13.8,SN,2021-11-21 15:24:23
238,Jacareacanga,-6.2222,-57.7528,90.86,54,95,2.35,BR,2021-11-21 15:24:24
239,Liberal,37.0431,-100.921,47.44,45,20,12.66,US,2021-11-21 15:20:55
240,Kroya,-7.6331,109.2461,79.2,86,80,2.86,ID,2021-11-21 15:24:25
241,Upernavik,72.7868,-56.1549,12.0,75,100,4.81,GL,2021-11-21 15:24:25
242,Lazdijai,54.2333,23.5167,42.67,79,100,17.63,LT,2021-11-21 15:24:25
243,Bubaque,11.2833,-15.8333,84.7,66,1,7.07,GW,2021-11-21 15:24:26
244,Aracati,-4.5617,-37.7697,91.09,45,31,12.84,BR,2021-11-21 15:24:26
245,Kasempa,-13.4584,25.8338,79.56,52,100,3.42,ZM,2021-11-21 15:24:26
246,Lermontovka,47.1453,134.3383,24.19,89,100,3.78,RU,2021-11-21 15:24:27
247,Asau,46.4333,26.4,50.95,51,20,5.73,RO,2021-11-21 15:24:27
248,Richards Bay,-28.783,32.0377,71.92,73,100,14.12,ZA,2021-11-21 15:24:28
249,New Norfolk,-42.7826,147.0587,54.9,72,95,2.17,AU,2021-11-21 15:24:28
250,Provideniya,64.3833,-173.3,3.78,87,15,7.27,RU,2021-11-21 15:24:29
251,Misratah,32.3754,15.0925,69.3,54,51,2.51,LY,2021-11-21 15:24:29
252,Capinzal,-27.3436,-51.6119,85.01,36,0,4.12,BR,2021-11-21 15:24:30
253,Fallon,39.4735,-118.7774,22.87,86,1,0.0,US,2021-11-21 15:24:31
254,Rantauprapat,2.1,99.8333,75.56,96,97,2.3,ID,2021-11-21 15:24:31
255,Mecca,21.4267,39.8261,79.12,46,1,13.98,SA,2021-11-21 15:24:31
256,Tra Vinh,9.9347,106.3453,79.14,86,65,9.33,VN,2021-11-21 15:24:32
257,Matara,5.9485,80.5353,76.84,82,97,9.51,LK,2021-11-21 15:24:32
258,Palm Beach,26.6503,-80.4498,81.99,90,47,11.18,US,2021-11-21 15:21:17
259,Dudinka,69.4058,86.1778,-12.17,80,8,10.36,RU,2021-11-21 15:24:33
260,Tuatapere,-46.1333,167.6833,51.17,96,100,3.22,NZ,2021-11-21 15:24:33
261,Omsukchan,62.5333,155.8,-15.18,100,99,4.16,RU,2021-11-21 15:24:33
262,Souillac,-20.5167,57.5167,77.38,73,20,6.91,MU,2021-11-21 15:24:34
263,Bud,39.447,-86.1758,44.69,96,100,9.4,US,2021-11-21 15:24:35
264,Te Anau,-45.4167,167.7167,49.41,98,100,0.92,NZ,2021-11-21 15:24:36
265,Fushun,41.8558,123.9233,24.51,89,98,9.31,CN,2021-11-21 15:24:36
266,Kismayo,-0.3582,42.5454,81.36,76,72,11.61,SO,2021-11-21 15:24:36
267,Mackay,-21.15,149.2,73.04,83,11,4.61,AU,2021-11-21 15:24:37
268,Saint Simons,31.1352,-81.3901,63.01,87,90,11.5,US,2021-11-21 15:24:37
269,Cidreira,-30.1811,-50.2056,77.09,52,0,7.52,BR,2021-11-21 15:24:38
270,Rawson,-43.3002,-65.1023,57.96,74,100,14.23,AR,2021-11-21 15:20:49
271,Nelson Bay,-32.7167,152.15,64.11,93,100,4.0,AU,2021-11-21 15:24:38
272,Lufilufi,-13.8745,-171.5986,76.78,81,66,16.64,WS,2021-11-21 15:24:39
273,Hue,16.4667,107.6,75.31,94,20,2.3,VN,2021-11-21 15:24:39
274,Buraydah,26.326,43.975,75.65,33,21,8.9,SA,2021-11-21 15:24:39
275,Ondjiva,-17.0667,15.7333,94.01,11,69,8.05,AO,2021-11-21 15:25:40
276,Prienai,54.6333,23.95,39.94,92,100,14.34,LT,2021-11-21 15:25:40
277,Santa Cruz,-17.8,-63.1667,91.45,40,20,3.44,BO,2021-11-21 15:21:21
278,Monrovia,6.3005,-10.7969,87.57,71,24,6.71,LR,2021-11-21 15:25:41
279,Tomatlan,19.9333,-105.25,76.23,54,0,1.77,MX,2021-11-21 15:25:41
280,Westport,41.1415,-73.3579,51.4,69,1,1.99,US,2021-11-21 15:25:27
281,Quang Ngai,15.1167,108.8,75.52,92,52,2.44,VN,2021-11-21 15:25:42
282,Shingu,33.7333,135.9833,57.42,89,73,3.89,JP,2021-11-21 15:25:43
283,Figeac,44.75,1.9167,50.38,77,100,2.71,FR,2021-11-21 15:25:43
284,Lagoa,39.05,-27.9833,61.41,89,100,34.83,PT,2021-11-21 15:25:43
285,Ketchikan,55.3422,-131.6461,46.87,100,90,21.85,US,2021-11-21 15:25:44
286,North Bend,43.4065,-124.2243,44.08,76,80,5.93,US,2021-11-21 15:25:44
287,Lara,-38.0167,144.4,56.23,92,75,8.05,AU,2021-11-21 15:25:44
288,Santa Fe Do Sul,-20.2111,-50.9258,82.99,46,46,5.99,BR,2021-11-21 15:25:45
289,Vestmannaeyjar,63.4427,-20.2734,45.59,93,90,21.85,IS,2021-11-21 15:25:45
290,Terra Santa,-2.1042,-56.4869,87.85,59,98,4.56,BR,2021-11-21 15:25:46
291,Oneonta,42.4529,-75.0638,46.29,68,93,4.92,US,2021-11-21 15:25:41
292,Vao,-22.6667,167.4833,73.6,83,24,23.64,NC,2021-11-21 15:25:46
293,Sobolevo,54.4299,31.8996,42.01,93,100,17.98,RU,2021-11-21 15:25:47
