City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
312,Carnarvon,AU,78.87,clear sky,-24.8667,113.6333,Hospitality Carnarvon
314,Ballina,AU,78.98,scattered clouds,-28.8667,153.5667,Ramada Hotel & Suites by Wyndham Ballina Byron
315,Ciudad Bolivar,VE,77.76,overcast clouds,8.1222,-63.5497,Hotel Edi
317,Tadine,NC,82.22,broken clouds,-21.55,167.8833,
326,Brokopondo,SR,76.8,broken clouds,4.75,-55.1667,Matu Island
327,San Policarpo,PH,84.13,broken clouds,12.1791,125.5072,Agapita M. Nicart
328,Calawag,PH,84.45,broken clouds,10.6697,119.5707,
345,Phangnga,TH,83.91,overcast clouds,8.4509,98.5298,Sunimit Mansion
349,Padang,ID,84.25,overcast clouds,-0.9492,100.3543,Mercure Padang
350,Pathum Thani,TH,84.94,few clouds,14.0833,100.6,Pinehurst Golf & Country Club
353,Takoradi,GH,78.96,light rain,4.8845,-1.7554,Raybow International Hotel
357,Bhubaneswar,IN,82.09,mist,20.2333,85.8333,Hotel Pushpak
358,Cape Coast,GH,80.26,few clouds,5.1053,-1.2466,Samrit Hotel
360,Sokone,SN,77.16,overcast clouds,13.8833,-16.3667,Hôtel le Caïman
364,Abonnema,NG,76.93,scattered clouds,4.7084,6.7931,Corper's Lodge Obonoma
365,Wahiawa,US,79.12,overcast clouds,21.5028,-158.0236,Aloha Wahiawa
366,Marawi,PH,75.65,overcast clouds,7.9986,124.2928,Derogongan Residence
368,Tres Lagoas,BR,75.74,few clouds,-20.7511,-51.6783,Druds Express Hotel
371,Geraldton,AU,76.12,clear sky,-28.7667,114.6,Broadwater Mariner Resort
375,Sola,VU,82.71,few clouds,-13.8833,167.55,Leumerus Bungalows
387,Morondava,MG,79.36,light rain,-20.2833,44.2833,La Case Bambou
389,Anito,PH,84.92,overcast clouds,12.4497,125.2886,FELIPA LAODENIO PROPERTY
390,Pangai,TO,82.51,scattered clouds,-19.8,-174.35,Ha'apai Beach Resort
391,Caucaia,BR,82.35,scattered clouds,-3.7361,-38.6531,M.O.S. Logística - Filial Fortaleza
397,Salalah,OM,82.49,clear sky,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
406,Panacan,PH,85.95,broken clouds,9.2463,118.4082,Mom's Place Resort
407,Kampong Thum,KH,78.48,overcast clouds,12.7111,104.8887,Sambor Village Hotel
408,Pedernales,DO,78.33,few clouds,18.0384,-71.744,Hotel Costa Marina
410,Gizo,SB,85.98,light rain,-8.103,156.8419,Imagination Island
414,Galle,LK,79.02,overcast clouds,6.0367,80.217,Amangalla
416,Tulagi,SB,83.89,broken clouds,-9.0996,160.1476,Raiders Hotel & Dive
418,Acarau,BR,80.42,overcast clouds,-2.8856,-40.12,castelo pizzaria
423,Gigmoto,PH,83.48,broken clouds,13.7796,124.39,Cj's Travellers Inn
429,Harper,LR,78.53,clear sky,4.375,-7.7169,Screensaver
444,Adrar,MR,75.06,overcast clouds,20.5022,-10.0711,
450,Acapulco,MX,82.22,clear sky,16.8634,-99.8901,HS Hotsson Smart Acapulco
454,Sibolga,ID,82.74,overcast clouds,1.7427,98.7792,Hotel Syariah CN Darussalam
458,Banda Aceh,ID,81.79,overcast clouds,5.5577,95.3222,Sulthan Hotel International
469,Ca Mau,VN,83.7,broken clouds,9.1769,105.15,Khách Sạn Mường Thanh Luxury Cà Mau
471,Velasco Ibarra,EC,76.95,overcast clouds,-1.05,-79.6167,White Room Studio
502,Cayenne,GF,80.1,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
511,Bom Jesus,BR,80.53,moderate rain,-9.0744,-44.3586,Hotel Brasão & Floricultura Bella Flor
512,Aden,YE,78.67,overcast clouds,12.7794,45.0367,Sama Emirate Hotel
521,Isangel,VU,86.11,broken clouds,-19.55,169.2667,Tanna Lodge
526,Itarema,BR,80.33,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
530,Benjamin Aceval,PY,82.6,overcast clouds,-24.9667,-57.5667,Escuela Agrícola y Hotel Cerrito
532,Laem Sing,TH,86.34,overcast clouds,12.4816,102.0738,Laemsing Whitehouse Resort
533,Dwarka,IN,77.86,clear sky,22.2394,68.9678,Hotel Narayan Avezika Comfort
541,Ati,TD,75.96,overcast clouds,13.2154,18.3353,
546,Kieta,PG,82.69,light rain,-6.2167,155.6333,Uruna Bay Retreat
550,Xanxere,BR,75.31,broken clouds,-26.8769,-52.4042,Center Hotel
556,Indiaroba,BR,76.93,overcast clouds,-11.5192,-37.5117,Pura Vida Bahia
557,Monkey Bay,MW,80.8,overcast clouds,-14.0728,34.9201,Monkey Bay Beach Lodge
565,Tual,ID,83.46,few clouds,-5.6667,132.75,Grand Vilia Hotel
571,Mahibadhoo,MV,81.59,overcast clouds,3.7833,72.9667,Omadhoo Inn
573,Parvatipuram,IN,76.15,few clouds,18.7833,83.4333,Laxman Lodge
581,Formosa,AR,80.58,clear sky,-26.1775,-58.1781,Hotel Portal del Sol
585,Mormugao,IN,76.26,mist,15.4,73.8,Coconut Creek Resort
588,Cururupu,BR,75.74,overcast clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
592,Tenenkou,ML,77.14,broken clouds,14.4572,-4.9169,
599,Chandbali,IN,77.4,scattered clouds,20.7833,86.7667,KABITA HOMES
604,Amarante,BR,81.73,light rain,-6.2411,-42.8547,Hotel Pousada Velho Monge
608,Champerico,GT,81.28,overcast clouds,14.3,-91.9167,"Hotel y restaurante ""El Diamante"""
611,Vaitape,PF,81.27,light rain,-16.5167,-151.75,Conrad Bora Bora Nui
616,Yeppoon,AU,78.58,scattered clouds,-23.1333,150.7333,Villa Mar Colina
617,Namatanai,PG,83.43,light rain,-3.6667,152.4333,Seagulls Inn Namatani
620,Port-Gentil,GA,79.36,light rain,-0.7193,8.7815,Fengshui Residence
625,Dingle,PH,84.7,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
629,Kamphaeng Phet,TH,78.84,scattered clouds,16.25,99.5,ฟาร์มแพะ หนองผักหนาม
632,Katobu,ID,89.13,clear sky,-4.9408,122.5276,La Ode Husein
636,Tevaitoa,PF,81.1,overcast clouds,-16.7833,-151.5,Hôtel Raiatea Lodge
639,Nouakchott,MR,78.73,broken clouds,18.0858,-15.9785,HOTEL IMAN
649,Araouane,ML,76.37,overcast clouds,18.9048,-3.5265,
655,Turan,VN,78.78,broken clouds,16.0678,108.2208,Sun River Hotel
657,Annamalainagar,IN,79.25,overcast clouds,11.4,79.7333,Hotel Akshaya
658,Suleja,NG,75.09,overcast clouds,9.1758,7.1808,Capy Motel
664,Naranjal,EC,75.0,overcast clouds,-2.6667,-79.6167,Media Naranja
667,Roebourne,AU,88.07,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
670,Tautira,PF,84.22,light rain,-17.7333,-149.15,Pension Oaoa
672,Soyo,AO,78.1,overcast clouds,-6.1349,12.3689,Hotel Mpampa
675,Tuni,IN,77.86,scattered clouds,17.35,82.55,Sai Krishna Lodge
